IndexCol,HKE01AUG07,HKE04JUL07,HKE06JUL07,HKE08AUG07,HKE09JUL07,HKE10AUG07,HKE12JUL07,HKE17JUL07,HKE20JUL07,HKE20JUN07,HKE22AUG07,HKE23JUL07,HKE24AUG07,HKE26JUL07,HKE26JUN07,HKE27AUG07
1,0.022592238794960657,0.02716130615158139,0.029103545666732206,0.011716733766904098,0.022969585737737448,0.031122999200045857,0.022734558059076364,0.025578831629916823,0.011867724876639518,0.04384789778183672,0.013343629295893635,0.018583151397609868,0.024277645840945074,0.012583388288681028,0.027589138876299404,0.010226825750622788
2,0.00015271838729383018,0.0,0.0001642845408247084,0.0004645401052957572,0.0006793336919522668,0.0010831267506932166,0.0015726945522163008,0.001816315507209325,0.0004061235997335661,0.0,0.00019364833462432224,0.0012983451640189594,0.001861070515162587,0.00029287477511401197,0.0,0.0
3,0.0,0.0,0.0,0.0004645401052957572,0.0,9.191598878624937e-05,0.00022841480127912289,0.0006398143894323461,0.0,0.0007135559785367757,0.0010871935678392263,0.0,0.0008144562172695165,0.0,9.826078412105728e-05,0.0
4,0.0,0.0014401904373800701,0.0033401444958560617,0.00013315579227696404,0.0055611379517310775,0.0012526188102728833,0.00819333807494569,0.005326596556516457,0.002280118996671822,0.0038102034401773103,0.0011320114317832507,0.0,0.0007763975155279503,0.0,0.0014300369211498946,0.0
5,0.0070112338813603965,0.0010184286849317852,0.0008122371500942946,0.004311803662354739,0.0012911142521754963,0.006759817268444901,0.0018192471090231464,0.0036134087103948456,0.000530874098735562,0.0,3.2274722437387036e-05,0.0031636750056389974,0.0008144562172695165,0.0026010956800530875,0.00014739117618158592,0.0009874155655590034
8,0.00015271838729383018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042625745950554135,0.0,0.0,0.0
11,0.003673337299875944,0.0,0.0,0.003749255835480087,0.0,0.002407620792970416,0.0002855185015989036,0.0003234152652005175,0.000249500998003992,0.0,0.00033141494160189317,0.0005254356313281699,0.004654579222993545,0.0015321960657501965,0.0,0.0028352004817194278
12,0.004315564126992432,4.620218074293107e-05,0.00022359485512666222,0.0036273441268288645,0.0004261385852210449,0.007285922889671677,0.0011004176278669444,0.0005366867283446328,0.0,0.0,7.32171621027969e-05,0.0014922638732960305,0.0018230118134210205,0.0011661025968576814,4.913039206052864e-05,0.0035986715486081775
14,6.135722174499939e-05,0.0,0.0,0.0,0.0,0.0,0.00013234515616728428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.000794945214410319,0.00478061241098222,0.005256709519502514,0.0019127863237853467,0.0013754265295841247,0.0008992947731207178,0.001744005653175643,0.0010471350116967718,0.0006556245977375581,0.001931088385238465,0.0003872966692486445,0.0010416304212611945,0.0005822981366459627,0.0007747590117392385,0.0019667450023143247,0.00019666972597351515
16,0.007718865932633894,0.008821989930077542,0.0070091219312869765,0.00598519272400572,0.00819390216762618,0.007021400958850975,0.008554098032392097,0.009141070567000302,0.0006556245977375581,0.007730611324775084,0.0013776660697757096,0.00530973188164208,0.007333911825599806,0.004363407640535722,0.006404074596309964,0.002719161296692873
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46830530401035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.019904665045416714,0.022958888412561964,0.021725311234440506,0.017967619513406093,0.031378845797063105,0.022716279360411255,0.02119614386480746,0.031657212496804296,0.002840127286226646,0.008053280645041863,0.0011084044265738864,0.013776663231945508,0.013503227377907684,0.01061917530503264,0.009853713143336097,0.028666393109599262
20,0.0006735801050576567,0.001386065422287932,0.00048826084545950147,0.00041292453804067306,0.0024725192339176407,0.0031716285392460746,0.0003607599574464072,0.0014160110259135881,0.000124750499001996,0.00045200309786529386,0.0002904725019364833,0.0004386273062221962,0.0011645962732919255,0.0007974774730658853,0.00047876825184358225,0.001928415457107385
21,0.0031238209724456225,0.0,0.0,0.006270982140463897,0.00013078733978550875,0.0057546178726254164,5.710370031978072e-05,0.0004912259793283342,0.000124750499001996,0.0,0.023133726108529196,0.00023270245113248526,0.009735415905492633,0.001049778822041822,0.0,0.007004740306934267
22,0.013805693485407288,0.03346032545970093,0.026415814628197632,0.007246454505379222,0.013733703775499765,0.007616267929627281,0.017718199012774057,0.014668732423605758,0.007681738380301861,0.03194699814484814,0.0023892463290374347,0.017048393549898264,0.009423334551211788,0.019696960558367796,0.02697043191127701,0.0009450668272398093
23,0.0,0.00023101090371465533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0005522149957049945,0.0030853196252223778,0.0007894051939838942,0.0018230123504849594,0.025653402214187333,0.005806101063767485,0.0035142203630888456,0.00789988639618322,0.004745994785892481,0.0015701603986155834,0.00016137361218693518,0.004799067700544045,0.005781116794543904,0.0016663748053774847,0.001041904644788969,0.0070238812082481505
26,0.019190286323456533,0.0015085033542008158,0.0016883773915051668,0.017497855995179064,0.001978827516967559,0.013445523632631485,0.005779535339723789,0.008216285520415048,0.0017173727952086823,0.0,0.0005982804383290124,0.013018525149484855,0.010587930824503714,0.008380042417723343,0.0,0.012821328386644588
28,0.0,0.0,0.0,0.00010323113451016826,0.0,5.4597073596855206e-05,0.0,0.0,0.0,0.0,0.00017004132941495802,0.0,0.0,0.0,0.0,0.0
29,0.0023248277556232938,0.003434807043675313,0.0009536897348086026,0.01563367490330157,0.0024176645987009655,0.004734551632692628,0.0015599376641618023,0.004039951636683076,0.0012502429019282764,0.0,0.00048651698303550986,0.0012115368389129858,0.0014728717573986117,0.0003359798561513686,0.004907288408578903,0.007949807134174076
32,6.135722174499939e-05,4.620218074293107e-05,0.000141452584714308,0.0,0.0003164293147876933,0.00010055506798997989,0.00011420740063956144,0.00021327146314411536,0.0,0.0,0.00024325849151775493,0.0,0.0,0.0,0.0,0.0
33,0.006797158272321566,0.002229588927184502,0.003568332127997348,0.010001557401802929,0.004687524437431494,0.013583573257851016,0.005901814041573187,0.005113325093372342,0.000530874098735562,0.0007800870873666062,0.0015241003939813033,0.0024951105527018106,0.006165509682133723,0.0030694554412989553,0.0011855695894691697,0.005527087005715562
34,0.0013758148197818081,0.0,4.10711352061771e-05,0.005501972044568908,0.00013078733978550875,0.005708659878232291,5.710370031978072e-05,6.46830530401035e-05,0.0,0.0,0.0004369068261420771,0.0,0.0005822981366459627,0.0,0.0004989287292436871,0.0013616141161921502
