IndexCol,SSE01OCT07,SSE03JUL07,SSE05JUL07,SSE07AUG07,SSE07NOV07,SSE09AUG07,SSE10SEP07,SSE11JUL07,SSE13JUL07,SSE15OCT07,SSE16JUL07,SSE17SEP07,SSE19JUL07,SSE19JUN07,SSE19JUN07.R3,SSE21AUG07,SSE22JUN07,SSE22OCT07,SSE23AUG07,SSE24JUL07,SSE24SEP07,SSE25JUN07,SSE27AUG07,SSE27JUN07,SSE30OCT07,SSE31JUL07
1,0.027542613111157674,0.07223376359947072,0.11472718468128512,0.13604474782720719,0.023005699338557853,0.11002688102542606,0.0067466849739046,0.056975655806853334,0.08823874551495747,0.014599370729698517,0.1116692540909767,0.01185873593302247,0.008441612235000787,0.15389945654735088,0.1410924019589386,0.0089639547641552,0.12197086417897361,0.015284574583009247,0.008919737744015046,0.061039231736052135,0.007369025814469917,0.037812631031550636,0.014389097811536682,0.03891489154239701,0.02042304377250508,0.13508533926313904
2,0.0022885161311526595,0.013241730987458325,0.019244312162804332,0.016389539816051096,0.006461963801639964,0.011943808039644132,0.002443282963142776,0.010351906158357772,0.018365047580460075,0.00223861793199556,0.017688887453789624,0.005760576566305269,0.0023017392980086027,0.01622987500400568,0.018992609215512532,0.0017649241187649386,0.019853318803001264,0.0028368334629677644,0.0017245866048060908,0.011142227257754399,0.0020138168458678405,0.008671799784961853,0.0020542264036249413,0.008932574404678014,0.0065678255261647205,0.015480803826848102
3,0.0003221916840241403,0.010157520318058054,0.05535431239462948,0.006540741371597583,4.288164665523156e-05,0.010393687852982258,0.0009828445503095036,0.045223155103844455,0.05489660824102381,0.0002218002235813208,0.030492902781980857,0.0007028836708491307,0.002231866149867482,0.009075577555889416,0.0,0.003952558197954582,0.0,0.0,0.0025662119177911466,0.009563976967525586,0.00013410117020740283,0.0,0.0016928350366513744,0.0008327460969398356,0.00021199593198805553,0.007866626557901131
4,0.0,0.0002696487187167059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010706638115631691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0050815972436195015,0.002147873839846971,0.0020374814022092866,0.00912734861570922,0.01320016475235311,0.007722204267218676,0.002496067989642756,0.0007471980074719801,0.0012031826470727512,0.003217944398014632,0.0039865385202579005,0.001987572654597221,0.0006889022916568147,0.006592402973061111,0.005930182062809536,0.0015337102459325686,0.0017254769330978417,0.0032045361247947457,0.001486059419009098,0.0037748021019410865,0.0025229893449490327,0.0009707559051552155,0.0006985322772727442,0.0005547603939797673,0.00905971353944574,0.011556829598696073
6,0.01800243894756879,0.030788261906670285,0.02549391655210459,0.030135766480958295,0.008488170728649281,0.022596581337455988,0.049803304658736905,0.028944683244285542,0.02542375797257336,0.006867837482457704,0.023825077115835563,0.050507710396941914,0.021500860748152252,0.030734638147498165,0.024067307764716515,0.02310352852888511,0.029836659025716184,0.007149203828536859,0.01227878612782253,0.020503397086304984,0.012853737367765801,0.02321439865448898,0.03651150458682498,0.016616679016900504,0.01804886347348864,0.02272407332039629
7,0.002428334517886757,0.009167265462887056,0.013833693146790883,0.01575673471741727,0.008484381274820922,0.013595944360168814,0.004250616984261844,0.01174727835134375,0.023869272137484403,0.004682304311634822,0.021788121619109133,0.008104076398085872,0.0017177485933296786,0.011348791793356041,0.011850524249521184,0.004129224764350464,0.006309420916162489,0.00981818771065595,0.0026488838754631042,0.00809774161233646,0.0031548863275646898,0.004791899448974508,0.0023913673139241186,0.004992755851849811,0.013223278815841195,0.012264336426033735
8,0.0021368864458330425,0.004716970353610846,0.006321050500745946,0.0025236180119743833,0.01643902497446563,0.0024362339462201976,0.001354868359833313,0.009171855541718555,0.009238501196364084,0.0023263623400021595,0.010700746254296248,0.001173589329241022,0.0005755876216514649,0.012884144490920778,0.013019595243055817,0.00034385490500926446,0.0053517968759786054,0.0036163955146486905,0.000248015873015873,0.003846461853152467,0.0012547165713151743,0.002395949724487254,0.00046838268003453947,0.0032878974181016637,0.010594877537688868,0.0034377537518407763
9,0.0064770080234664825,0.04252165040893915,0.058771280585385374,0.0529065366614489,0.00982189005606146,0.027044025320224187,0.0033733424869523,0.024032458924195556,0.036614990039070455,0.005098515709010556,0.03588444488904982,0.008702109543263812,0.006147461101889968,0.049793212779714116,0.0459004030500269,0.003694070671903968,0.05868938909974572,0.00423215906144672,0.003325165273104245,0.0276239768970976,0.00261618235397828,0.029771539537269763,0.002646243868038034,0.023758308742483115,0.015162192850735424,0.0467385085437569
10,0.0,0.001520763698371696,0.002475405641315921,0.0012657017513841321,0.0,0.0006774364417838417,0.0,0.0005348893263166352,0.001908108593409602,0.0,0.0031854398706813386,0.0,0.0,0.0001503307276007216,0.0,0.00011560693641618497,0.0,0.00041050903119868636,4.1335978835978834e-05,0.0004442848897678575,0.0,0.0,0.0,0.00022633395575171166,0.0,0.0011812424673182374
